OperatorName,num_disclosures
"EOG Resources, Inc.",943
XTO Energy/ExxonMobil,737
Anadarko Petroleum Corporation,635
Pioneer Natural Resources,609
"Chesapeake Operating, Inc.",590
Devon Energy Production Company L. P.,577
Occidental Oil and Gas,533
ConocoPhillips Company/Burlington Resources,443
Apache Corporation,414
Marathon Oil,401
"Continental Resources, Inc",369
Chevron USA Inc.,336
COG Operating LLC,324
Diamondback E&P LLC,290
Aera Energy LLC,275
Southwestern Energy,268
WPX Energy,223
Whiting Petroleum,214
Encana Oil & Gas (USA) Inc.,211
MEWBOURNE OIL COMPANY,206
Hess Corporation,206
EQT Production,202
SM Energy,200
SandRidge Energy,199
"Noble Energy, Inc.",196
PDC Energy,187
Newfield Exploration,184
Endeavor Energy Resources,180
Cimarex Energy Co.,170
Antero Resources Corporation,157
BHP Billiton Petroleum,146
"CrownQuest Operating, LLC",145
Blackbeard Operating,145
EP Energy,143
Range Resources Corporation,139
QEP Energy Company,129
Shell Oil Company affiliate,126
Energen Resources Corporation,116
"Ascent Resources - Utica, LLC",114
"EnerVest, Ltd.",112
"Parsley Energy Operations, LLC",103
Cabot Oil & Gas Corp,103
EXTRACTION OIL & GAS LLC,102
Murphy Exploration and Production USA,99
Oasis Petroleum,98
"Laredo Petroleum, Inc.",96
Ultra Resources,94
Matador Production Company,93
Lewis Energy Group,91
Ovintiv USA Inc.,88
BP America Production Company,86
"Bayswater Exploration & Production, LLC",81
Hilcorp Energy Company,80
"Carrizo Oil & Gas, Inc.",79
"Bonanza Creek Energy, Inc.",77
BPX Operating Company,75
"Trinity Operating (USG), LLC",74
Aethon Energy Operating LLC,74
Callon Petroleum Operating Company,73
"Fasken Oil and Ranch, Ltd.",72
Comstock Oil & Gas,72
Hunt Oil Company,69
Citation Oil and Gas Corp.,69
"Permian Resources Operating, LLC",68
Crescent Point Energy US Corp,68
TEP Rocky Mountain LLC,67
"Ring Energy, Inc.",65
"Surge Operating, LLC",63
"Linn Energy, LLC",62
Crestone Peak Resources,62
"Birch Operations, Inc.",62
"Great Western Oil & Gas Company, LLC",61
"EXCO Resources, Inc.",60
Scout Energy Partners,59
Bill Barrett Corp,59
Seneca Resources Corporation,57
Gulfport Energy Corporation,57
"Alta Mesa Services, LP",54
Caerus Oil and Gas LLC,53
Kraken Operating LLC,52
Statoil Oil & Gas LP,51
Penn Virginia Corporation,51
"Slawson Exploration Company, Inc.",49
Rosetta Resources,49
CONSOL Energy Inc.,49
"Omni Oil & Gas, Inc.",48
Enerplus Resources (USA) Corporation,45
EAP Ohio LLC,45
"Chaparral Energy, LLC",45
"Sheridan Production Company, LLC",44
"Petro Hunt, L.L.C.",44
Tap Rock Resources,43
Summit Petroleum LLC,42
Athlon Energy Operating LLC,42
Midstates Petroleum Company,41
"Centennial Resource Production, LLC",41
"HighPeak Energy Holdings, LLC.",40
Synergy Resources Corporation,39
Unit Petroleum,38
Sabine Oil & Gas Corporation,37
Magnolia Oil & Gas LLC,37
"SN EF Maverick, LLC",36
Henry Resources LLC,36
Talisman Energy USA Inc.,35
Samson,35
Mach Resources,35
LeNorman Operating LLC,35
"Finley Resources, Inc.",35
Chief Oil & Gas,35
Anschutz Exploration Corporation,35
WildHorse Resources LLC,34
Indigo Minerals,34
"Civitas Permian Operating, LLC",34
Verdun Oil Company,33
Rockcliff Energy Operating,33
"PennEnergy Resources, LLC",33
Delta Oil & Gas Ltd.,33
"RSP Permian, LLC",32
Merit Energy Company LLC,32
Jones Energy llc,32
"BKV Barnett, LLC",32
"Atlas Energy, L.P.",32
Jonah Energy LLC,31
Wexpro Company,30
Rosewood Resources,30
Kodiak Oil & Gas Corp,29
"Earthstone Operating, LLC",29
"Repsol O&G, LLC.",28
CNX Gas Company LLC,28
Ursa Operating Company LLC,27
Sanchez Oil & Gas Corporation,27
"SEM Operating Company, LLC",27
"Laramie Energy, LLC",27
RKI Exploration & Production,26
"Lime Rock Resources, LP",26
Javelin Energy Partners Management LLC,26
Citizen Energy II,26
BTA Oil Producers LLC,26
"Middle Fork Energy Parterns, LLC",25
Discovery Natural Resources LLC,25
"Clayton Williams Energy, Inc.",25
SilverBow Resources,24
"Grit Oil and Gas Management, LLC",24
DE IV Operating LLC,24
Berry Petroleum,24
Vine Oil & Gas LP,23
"Tanos Exploration II, LLC",23
Mack Energy Co.,23
"Eclipse Resources I, LP",23
BKV Corporation,23
FourPoint Energy,22
Approach Resources,22
"Uinta Wax Operating, LLC",21
Triple Crown Resources,21
Snyder Brothers Inc.,21
Legacy Reserves Operating LP,21
J CLEO THOMPSON,21
"Hinkle Oil & Gas, Inc.",21
"chisholm Oil and Gas Operating, LLC",20
"TEP Barnett USA, LLC",20
"Reliance Energy, Inc",20
Ovintiv Mid-Continent Inc.,20
"Jetta Operating Company, Inc",20
Halcon Resources Corporation,20
COTERRA ENERGY INC.,20
BreitBurn,20
"SN Operating, LLC",19
PetroQuest Energy LLC,19
Pennsylvania General Energy,19
"PRI Operating, LLC",19
"Juno Operating Company II, LLC",19
"Hawkwood Energy Operating, LLC",19
"Grayson Mill Operating, LLC",19
Statoil Texas Onshore Properties LLC,18
"OxyRock Operating, LLC",18
"Hadaway Consulting and Engineering, LLC",18
"FIML Natural Resources, LLC",18
Enduring Resources LLC,18
DE3 Operating LLC,18
"Berry Petroleum Company, LLC",18
"Swift Energy Operating, LLC",17
Sundance Energy,17
Laramie Energy LLC,17
"FELIX ENERGY HOLDINGS II, LLC",17
Expand Operating LLC,17
"Discovery Operating, Inc.",17
"Custer & Wright Operating, Inc",17
Bison IV Operating LLC,17
Valence Operating Company,16
"Steward Energy II, LLC",16
Sable Permian Resources,16
Rex Energy,16
Resolute Natural Resources,16
Kaiser-Francis Oil Company,16
"G3 Operating, LLC.",16
Franklin Mountain Energy,16
"Calyx Energy III, LLC",16
"Zavanna, LLC",15
Vital Energy,15
Verdad Oil and Gas Corporation,15
Tapstone Energy,15
Stronghold Energy II Operating LLC,15
Sabinal Energy,15
Northeast Natural Energy LLC,15
"Newark E&P Operating, LLC",15
"Longfellow Energy, LP",15
"Hannathon Petroleum, LLC",15
Forest Oil Corporation,15
"DJR OPERATING, LLC",15
Cheyenne Petroleum Company,15
XCL Resources,14
Three Rivers Operating Co II LLC,14
Texas American Resources Company,14
"Samson Exploration, LLC",14
Sabine Oil & Gas LLC,14
"Rover Petroleum Operating, LLC",14
Jagged Peak Energy,14
"GLB Exploration, Inc.",14
FireBird Energy II LLC,14
"Denbury Onshore, LLC",14
COBRA OIL & GAS CORPORATION,14
"Burnett Oil Co., Inc.",14
1859 Operating LLC,14
"White Rock Oil & Gas, LLC",13
"W&T Offshore, Inc.",13
Vantage Fort Worth Energy LLC,13
Unitex Oil Company,13
Triangle USA Petroleum Corporation,13
TG Natural Resources LLC,13
Stonegate Production,13
"Piceance Energy, LLC",13
"Permian Deep Rock Oil Co., LLC",13
"Kodiak Oil & Gas, Inc.",13
HighPoint Operating Corporation,13
"Hibernia Resources, LLC",13
"Headington Energy Partners, LLC",13
"GEP HAYNESVILLE, LLC",13
"FourPoint Energy, LLC",13
Ensign Operating LLC,13
Energy Corporation of America,13
"Elevation Resources, LLC",13
"Camino Natural Resources, LLC",13
"Tug Hill Operating, LLC",12
Spur Energy Partners,12
"Silver Hill Operating, LLC",12
"Rosehill Operating Company, LLC",12
Roan Resources LLC,12
"Petroglyph Operating Company, Inc.",12
"PetroLegacy Energy II, LLC",12
"Paloma Operating Co, Inc",12
"Goodrich Petroleum Company, LLC",12
"BlackBrush O & G, LLC",12
American Energy Permian Basin,12
Abraxas Petroleum Corporation,12
"White Star Petroleum, LLC",11
"Titus Oil & Gas Production, LLC",11
"Texland Petroleum, LP",11
"Rice Drilling B, LLC",11
"Kimmeridge Texas Gas, LLC",11
Fidelity Exploration & Production,11
Evergreen Natural Resources LLC,11
Escondido Resources Oper Co,11
"CPRP Services, LLC",11
Bridwell Oil Company,11
"American Energy - Woodford, LLC",11
Verdad Resources LLC,10
"Travis Peak Resources, LLC",10
Stone Energy Corporation,10
Saga Petroleum LLC,10
Rose City Resources,10
Red Rocks Oil & Gas Operating LLC,10
"Petrobal Omega 1, LLC",10
"Patriot Resources, Inc.",10
MRD OPERATING LLC,10
Kinder Morgan,10
"HRC Operating, LLC.",10
"GulfTex Energy, LLC",10
Guidon Energy Management Services LLC,10
"GEP HAYNESVILLE II, LLC",10
"Endeavor Natural Gas, LP",10
Capitan Energy INC,10
Ameredev Operations LLC,10
WildFire Energy Operating LLC,9
Slant Operating,9
"Silver Creek Oil & Gas, LLC",9
SRC ENERGY,9
"SHERIDAN PRODUCTION CO III, LLC",9
"Range Louisiana Operating, LLC",9
QB Energy Operating LLC,9
"Piedra Operating, LLC",9
PPC Operating Company LLC,9
"Novo Oil & Gas Texas, LLC",9
Merit Energy Company,9
"Liberty Resources Management Company, LLC",9
LCS Production Company,9
HighMount Exploration & Production,9
"Fulcrum Exploration, LLC.",9
"Four Corners Petroleum II, LLC",9
"Forge Energy, LLC",9
Cimarex Energy Co. of Colorado,9
"Casillas Operating, LLC",9
Brigadier Operating LLC,9
Bravo Arkoma LLC,9
"Aruba Petroleum, Inc.",9
Advance Energy Partners Hat Mesa LLC,9
"Admiral Permian Resources, LLC",9
Warwick Investment Group,8
"Vencer Energy, LLC",8
UpCurve Energy LLC,8
U.S. Energy Development Corp.,8
"Texas Energy Holdings, Inc.",8
Sanguine Gas Exploration,8
"Sabalo Operating, LLC",8
"RP Operating, LLC",8
Pride Energy Company,8
Plains Exploration & Production Company,8
Phoenix Operating LLC,8
Parallel Petroleum LLC,8
Pantera Energy Company,8
"Paloma Natural Gas, LLC",8
"Mid-Con Energy Operating, LLC",8
Mallard Exploration,8
"INPEX Eagle Ford, LLC",8
"Hilcorp Alaska, LLC",8
"GHA Barnett, LLC",8
Freeport-McMoRan Oil & Gas,8
"Foreland Operating, LLC",8
"Cub Creek Energy, LLC",8
"Compass Energy Operating, LLC",8
"Colgate Operating, LLC",8
Chord Energy,8
"Charter Oak Production Co., LLC",8
"Boyd & McWilliams Operating, LLC",8
"Basin Oil and Gas Operating, LLC",8
Alta Resources,8
"Ageron Energy, LLC.",8
"Zenergy, Inc.",7
"Willowbend Investments, Inc.",7
Sundown Energy L.P.,7
Sage Natural Resources,7
"Rio Oil and Gas, LLC",7
"RimRock Oil and Gas Willison, LLC",7
"Riley Permian Operating Company, LLC",7
"Red Fork (USA) Investments, Inc.",7
"PetroShale (US), Inc.",7
"Peregrine Petroleum Partners, LTD",7
"Percussion Petroleum II, LLC",7
"Nine Point Energy, LLC",7
"Murchison Oil and Gas, LLC",7
Manti Tarka Permian,7
Mack Energy Corporation,7
Lance Ruffel Oil and Gas,7
"Juno Operating Company III, LLC",7
Greenlake Energy Operating,7
"ExL Petroleum, LP",7
"Energy & Exploration Partners Operating, LP",7
Emerald Oil Inc,7
"Element Petro Operating II, LLC",7
"EdgeMarc Energy Holdings, LLC",7
Duncan Oil Properties,7
"Crescent Pass Energy, LLC",7
"C. E. Harmon Oil, Inc.",7
Bluefin Resources LLC,7
"Aztec Drilling & Operating, LLC",7
"Avant Operating, LLC",7
Arsenal Resources,7
"Anschutz Oil Company, LLC",7
American Eagle Energy Corporation,7
W.T. Waggoner Estate,6
Urban Oil and Gas Group,6
Triad Hunter LLC.,6
Tall City Operations III LLC,6
TRP Operating LLC,6
Summit Energy Management,6
Strat Land Exploration Co,6
Stephens & Johnson Operating Co.,6
"Stasney Well Service, LLC",6
"Southwest Royalties, Inc.",6
Sinclair Oil & Gas Company,6
Seaboard Operating Co.,6
Rockies Resources Holdings LLC,6
"Quantum Resources Management, LLC",6
"PureWest Resources, Inc",6
"Point Energy Partners Operating, LLC",6
Petroplex Energy Inc.,6
Permian Resources,6
"Moriah Operating, LLC",6
Lario Oil & Gas Company,6
"Land and Natural Resource Development, Inc",6
"Killam Oil Co., Ltd.",6
"KODA Resources Operating, LLC",6
"Jay-Bee Oil & Gas, Inc.",6
"JMH Production, LLC",6
Interstate Explorations LLC,6
"Independence Resources Management, LLC.",6
"IKE Operating, LLC",6
Gordy Oil Company,6
"Founders Oil & Gas Operating, LLC",6
Equinor Texas Onshore Properties LLC,6
"EagleRidge Energy, LLC",6
"EXCO/HGI JV Assets, LLC",6
Crawley Petroleum,6
"Cholla Petroleum, Inc.",6
"Choice Exploration, Inc.",6
"Caza Operating, LLC",6
Canvas Energy LLC,6
Cantera Operating LLC,6
"Calyx Energy, LLC",6
"Buffco Production,Inc",6
BNK Petroleum (US) Inc,6
"Axia Energy, LLC",6
"Axia Energy II, LLC",6
Augustus Energy Resources LLC,6
"Walsh Petroleum, Inc.",5
"VirTex Operating Company, Inc.",5
"Veritas Energy, LLC",5
"VTX Energy Operating, LLC",5
VENADO OPERATING COMPANY LLC,5
"TreadStone Energy Partners Operating, LLC",5
Stout Energy Inc.,5
Statoil USA Onshore Properties Inc.,5
"S. B. STREET OPERATING, INC.",5
Ridgemar Energy LLC,5
Recoil Resources Operating Inc.,5
"R. Lacy Services, LTD",5
Quicksilver Resources Inc.,5
Primexx Operating Corporation,5
Primexx Operating,5
"Phoenix PetroCorp, Inc.",5
Petro Harvester Operating Company LLC,5
"PayRock Energy, LLC",5
Olympus Energy,5
"OAK Valley Operating, LLC",5
Murex Petroleum Corp.,5
"MM Energy, Inc.",5
"Luxe Operating, LLC",5
"Lonestar Resources, Inc.",5
"Legacy Oil & Gas ND, Inc.",5
"Laredo Energy Operating, LLC",5
"LOGOS Operating, LLC",5
"L.E. Jones Operating, Inc.",5
JMA ENERGY COMPANY,5
"INR Operating, LLC",5
"Husky Ventures, Inc.",5
"Holmes Exploration, LLC",5
"GeoSouthern Operating II, LLC",5
Firebird Energy,5
FELIX ENERGY LLC,5
"Escondido Resources II, LLC",5
Cutbow Operating LLC,5
"Contango Resources, Inc.",5
"Canyon Creek Energy Operating, LLC",5
"CRIMSON ENERGY PARTNERS IV, LLC",5
Black Swan Oil & Gas,5
"Bison Oil & Gas II, LLC",5
"Big Star Oil & Gas, LLC",5
"BC Operating, Inc.",5
donray petroleum llc.,4
Zarvona Energy,4
Warren American Oil Company,4
"Wapiti Operating, LLC",4
"Vitruvian Exploration II, LLC",4
Vermilion Energy USA LLC,4
Venture Oil & Gas,4
Venado Oil & Gas LLC,4
Vantage Energy Appalachia II LLC,4
True Oil LLC,4
True Oil Company LLC,4
Tema Oil and Gas Company,4
"Tamarack Petroleum Company, Inc.",4
"Staghorn Petroleum II, LLC",4
Spring Operating Company,4
Spess Oil Company,4
SK E&P Operations America,4
Revolution Resources,4
Red Bluff Resources,4
RK Petroleum Corp.,4
R2Q Operating LLC,4
Protege Energy III LLC,4
Prime Operating Company,4
"Price Operating, LLC",4
"Plymouth Exploration, LLC",4
"Pillar EFS, LLC",4
Payne Exploration Company,4
"Pablo Energy II, LLC",4
"Ovintiv Production, Inc.",4
"MWS Producing, Inc.",4
Laredo Energy,4
King Operating Corporation,4
Inflection Energy (PA) LLC,4
Harmonia Petroleum Corporation,4
"Green Century Exploration & Production, LLC",4
Gastar Exploration Inc.,4
"GULF EXPLORATION, L.L.C.",4
FORMENTERA OPERATIONS LLC,4
"FDL Operating, LLC",4
Extex Operating Company,4
Equinor USA Onshore Properties Inc.,4
"Empresa Operating, LLC",4
Elm Ridge Exploration Co LLC,4
"EAGLE ROCK MID-CONTINENT OPERATING, LLC",4
"Driftwood Energy Operating, LLC",4
Corinthian Exploration (USA) Corp.,4
"Comanche Exploration Co., LLC",4
"Clear Fork, Inc.",4
Catamount Energy Partners,4
"Capstone Natural Resources, LLC",4
"Cambrian Management, Ltd",4
"Bruin E&P Operating, LLC",4
BlueStem Energy,4
Baytex Energy USA Ltd,4
BARROW-SHAVER RESOURCES CO.,4
"Worsham-Steed Gas Storage, LLC",3
Wishbone Texas Operating Co.,3
"Western Chief Operating, LLC",3
Ward Petroleum,3
Walter Exploration Company,3
"Walsh & Watts, Inc.",3
WILLIAMS OIL COMPANY,3
WBH Energy Partners LLC,3
Upland Operating LLC,3
"Twisted Oak Operating, LLC",3
"Tribune Resources, LLC",3
"Treadstone Energy Partners, LLC",3
"Three Span Oil & Gas, Inc.",3
"The Quintin Little Company, Inc.",3
Texegy Operating Company LLC,3
Texas Secondary Oilfield Services,3
TALL CITY OPERATIONS LLC,3
"TACOR Resources, Inc.",3
Stephens Production Company,3
Steller Energy & Investment Corp,3
"Silverback Operating, LLC",3
