OperatorName,num_disclosures
"EOG Resources, Inc.",943
XTO Energy/ExxonMobil,737
Anadarko Petroleum Corporation,635
Pioneer Natural Resources,609
"Chesapeake Operating, Inc.",590
Devon Energy Production Company L. P.,577
Occidental Oil and Gas,533
ConocoPhillips Company/Burlington Resources,443
Apache Corporation,414
Marathon Oil,401
"Continental Resources, Inc",369
Chevron USA Inc.,336
COG Operating LLC,324
Diamondback E&P LLC,290
Aera Energy LLC,275
Southwestern Energy,268
WPX Energy,223
Whiting Petroleum,214
Encana Oil & Gas (USA) Inc.,211
MEWBOURNE OIL COMPANY,206
Hess Corporation,206
EQT Production,202
SM Energy,200
SandRidge Energy,199
"Noble Energy, Inc.",196
PDC Energy,187
Newfield Exploration,184
Endeavor Energy Resources,180
Cimarex Energy Co.,170
Antero Resources Corporation,157
