OperatorName,year,num_disclosures,total_water_consump
"EOG Resources, Inc.",2023,943,11468245278.06
Pioneer Natural Resources,2019,609,9359782662.862654
XTO Energy/ExxonMobil,2016,737,9107682387.7
Diamondback E&P LLC,2023,290,5546321808.292912
Devon Energy Production Company L. P.,2015,577,5433428458.11
Occidental Oil and Gas,2013,533,5177973611.942467
COG Operating LLC,2018,324,5019539236.669547
"Chesapeake Operating, Inc.",2025,590,4847163524.5
Anadarko Petroleum Corporation,2021,635,4443576585.459322
"Continental Resources, Inc",2014,369,4388136947.488135
Chevron USA Inc.,2014,336,3651022576.02
EQT Production,2013,202,3484493221.919666
ConocoPhillips Company/Burlington Resources,2019,443,3467861590.550806
Marathon Oil,2018,401,3407089956.927
MEWBOURNE OIL COMPANY,2021,206,3283933327.0
Apache Corporation,2012,414,3276309495.0
SM Energy,2012,200,3196717770.04
Cimarex Energy Co.,2025,170,2842333475.586203
Endeavor Energy Resources,2019,180,2798475238.18
Southwestern Energy,2013,268,2629851483.4041986
Antero Resources Corporation,2020,157,2600805324.72
"Noble Energy, Inc.",2012,196,2250958287.0
Aethon Energy Operating LLC,2020,74,2028259663.1204023
Ovintiv USA Inc.,2022,88,1712705519.38
"Ascent Resources - Utica, LLC",2018,114,1707572286.6
"Trinity Operating (USG), LLC",2017,74,1629251800.64
EAP Ohio LLC,2020,45,1628113042.58
Comstock Oil & Gas,2012,72,1620363643.62
WPX Energy,2018,223,1574555722.1033
"CrownQuest Operating, LLC",2019,145,1541705800.0
BPX Operating Company,2025,75,1479049147.8203442
"Permian Resources Operating, LLC",2024,68,1471250111.0
Encana Oil & Gas (USA) Inc.,2018,211,1467406788.8163333
Matador Production Company,2022,93,1449766981.7621489
PDC Energy,2013,187,1352406827.28
Newfield Exploration,2019,184,1331403123.5441
"Laredo Petroleum, Inc.",2014,96,1254656160.0
"Parsley Energy Operations, LLC",2018,103,1224745043.0
"Birch Operations, Inc.",2019,62,1220406321.0
EP Energy,2018,143,1218550753.85831
Range Resources Corporation,2014,139,1212575769.961474
Rockcliff Energy Operating,2022,33,1162127631.000798
Whiting Petroleum,2023,214,1161221872.110907
Cabot Oil & Gas Corp,2015,103,1136025548.1
Hess Corporation,2020,206,1124573985.7463944
Murphy Exploration and Production USA,2025,99,1032675085.6718009
Callon Petroleum Operating Company,2021,73,1029619041.0
"Bayswater Exploration & Production, LLC",2013,81,1013410445.41
Sabine Oil & Gas Corporation,2025,37,1007506739.44
BHP Billiton Petroleum,2014,146,960131353.96
Gulfport Energy Corporation,2021,57,940375561.18
Crestone Peak Resources,2020,62,910707815.0
"Civitas Permian Operating, LLC",2025,34,895168408.0
"Surge Operating, LLC",2021,63,881697857.0
Lewis Energy Group,2015,91,871088331.890954
"HighPeak Energy Holdings, LLC.",2022,40,856099329.0
EXTRACTION OIL & GAS LLC,2018,102,847513373.0
Energen Resources Corporation,2013,116,812654153.0
Oasis Petroleum,2014,98,806880008.54
Penn Virginia Corporation,2023,51,796592479.0
Tap Rock Resources,2020,43,795312157.0
"Carrizo Oil & Gas, Inc.",2016,79,747042174.0
"EXCO Resources, Inc.",2018,60,740826035.4638227
Shell Oil Company affiliate,2013,126,716740718.0
"Bonanza Creek Energy, Inc.",2014,77,712777920.0
"Centennial Resource Production, LLC",2018,41,669710663.0
Seneca Resources Corporation,2012,57,665450000.3
Kraken Operating LLC,2019,52,602102320.5282817
QEP Energy Company,2013,129,585716065.0
Indigo Minerals,2019,34,570970038.0
Javelin Energy Partners Management LLC,2024,26,555946563.0
DE IV Operating LLC,2023,24,552584059.0
WildHorse Resources LLC,2018,34,548379367.0
Verdun Oil Company,2022,33,535412753.0
Rosewood Resources,2025,30,532449640.0
"Fasken Oil and Ranch, Ltd.",2013,72,520445003.5355507
Magnolia Oil & Gas LLC,2025,37,515593426.0
Anschutz Exploration Corporation,2025,35,513283841.362
Summit Petroleum LLC,2014,42,499333357.0
Expand Operating LLC,2025,17,498207185.0
"Alta Mesa Services, LP",2017,54,486315150.0
Rosetta Resources,2014,49,462011180.0
Hunt Oil Company,2015,69,459636329.0
"SEM Operating Company, LLC",2017,27,456132280.0
"Earthstone Operating, LLC",2018,29,452295972.0
"Eclipse Resources I, LP",2014,23,447193889.0
"Great Western Oil & Gas Company, LLC",2014,61,445415975.0
CONSOL Energy Inc.,2017,49,442658773.0
Triple Crown Resources,2024,21,439399220.0
"PennEnergy Resources, LLC",2017,33,439333168.7
Citizen Energy II,2021,26,439255601.0
COTERRA ENERGY INC.,2022,20,423313443.0
CNX Gas Company LLC,2020,28,420831654.0
"PRI Operating, LLC",2022,19,414442717.0
Vine Oil & Gas LP,2016,23,411326977.0
"SN EF Maverick, LLC",2017,36,407043443.0
