OperatorName,num_disclosures,year,avg_water_consum
1776 Energy Operators,1,2025,9357012.0
1859 Operating LLC,14,2022,22809.0
"3R OPERATING, LLC",2,2026,13866429.5
89 Energy,1,2017,14454095.0
"ABARTA Oil & Gas Co., Inc.",1,2016,474810.0
AEXCO Petroleum Inc.,1,2018,1985006.0
AM Idaho,1,2018,727.0
"AMTEX ENERGY, INC",1,2023,38172170.0
Abraxas Petroleum Corporation,12,2016,6375969.75
"Acadia Oil, LLC",1,2012,100.0
Accumulate Energy Alaska Inc,1,2017,1167297.0
"Admiral Permian Resources, LLC",9,2018,15306293.333333334
Advance Energy Partners Hat Mesa LLC,9,2020,24108992.222222224
"Adventure Operating Company, LLC",1,2017,5245758.0
Aera Energy LLC,275,2020,75609.09454545454
Aethon Energy Operating LLC,74,2020,27408914.366491925
"Agave Oil & Gas, LLC",1,2017,275096.0
"Ageron Energy, LLC.",8,2022,16103804.75
"Ageron Ironroc Energy, LLC",1,2023,724523.0
"Ajax Resources, LLC",2,2018,22505301.0
"Alchemist Energy, LLC",2,2021,13733859.5
"Alta Mesa Services, LP",54,2017,9005836.111111112
Alta Resources,8,2019,23127330.5
Altamont Energy,3,2019,992917.0
Ameredev Operations LLC,10,2019,26069048.1
American Eagle Energy Corporation,7,2012,1726322.0
"American Energy - Marcellus, LLC",1,2014,7391832.0
"American Energy - Utica, LLC",2,2015,12143418.0
"American Energy - Woodford, LLC",11,2015,4520736.090909091
American Energy Permian Basin,12,2015,12227234.0
American Energy Utica,1,2014,14094681.0
"Amistad Energy Services, LLC",2,2016,13020000.0
Amplify Energy Corp,1,2017,10785936.0
Anadarko Petroleum Corporation,635,2021,6997758.402298145
Anderson Oil Ltd,1,2014,7140.0
Anschutz Exploration Corporation,35,2025,14665252.610342856
"Anschutz Oil Company, LLC",7,2020,10235096.285714285
Antero Resources Corporation,157,2020,16565639.010955412
Apache Corporation,414,2012,7913791.050724638
Apex Energy LLC,2,2024,20013378.0
